# Tile coordinates are in index space, not physical space
dim = 3

tile_0.nrrd;;(1.752185920722376e-8, -1.0666064211188328e-6, -2.2032165506144258e-7)
tile_1.nrrd;;(30.326818040400752, -1.2936258459823172e-2, 3.6530203439972625e-2)
tile_2.nrrd;;(63.19455106527591, -3.68248023179888e-2, 4.6618320047855384e-2)
tile_3.nrrd;;(99.43309253851037, -1.5568195117844474e-2, -8.237594907934016e-2)
tile_4.nrrd;;(1.4028667161862055e-2, 56.95641231522822, 1.682417230172591e-1)
tile_5.nrrd;;(37.404609577858494, 56.09770231483872, 6.619660691781479e-2)
tile_6.nrrd;;(64.30002133223155, 57.13632239988573, 6.813969124447217e-2)
tile_7.nrrd;;(99.43884240426677, 59.025953116332275, -6.798233498226514e-2)
tile_8.nrrd;;(5.054647070274018e-2, 111.29163717777207, 1.3101867654106836e-1)
tile_9.nrrd;;(36.38184859824513, 112.56953705932462, 1.0253117165782236e-1)
tile_10.nrrd;;(65.49628507147165, 116.71060879439437, 1.6056009314276956e-1)
tile_11.nrrd;;(99.38764225404326, 115.05201382880819, 6.545112214305185e-2)
tile_12.nrrd;;(7.427254983098709e-4, 174.6021085366838, 2.1879148754206573e-1)
tile_13.nrrd;;(34.60120358050968, 172.40696780855592, 1.7373097213831817e-1)
tile_14.nrrd;;(65.67907491445648, 168.46826111879662, 1.1692127043550667e-1)
tile_15.nrrd;;(99.32425881421518, 172.10285593535863, 6.43505630168048e-2)
tile_16.nrrd;;(4.693165922548338e-2, 230.5606369578833, 1.1307024820284411e-1)
tile_17.nrrd;;(33.37805265657439, 230.49674647554616, 1.1820942163467409e-1)
tile_18.nrrd;;(64.52793955974518, 233.3812413460987, 9.84486531127583e-2)
tile_19.nrrd;;(99.3308183315151, 233.3545510135856, 3.0337456952441826e-2)
tile_20.nrrd;;(-3.537890223557489e-2, 287.17800447048, 6.75702298229391e-2)
tile_21.nrrd;;(33.39616493086422, 290.0167389424871, 7.933053103360264e-2)
tile_22.nrrd;;(65.1878365246605, 289.7399607659731, 6.248549304225229e-2)
tile_23.nrrd;;(99.30807763456065, 283.4015092508088, 3.505229611288418e-2)
tile_24.nrrd;;(-5.5292468757657275e-2, 341.0981073817254, 6.674622947519476e-2)
tile_25.nrrd;;(31.792544008856463, 343.10777749568496, 8.821146732026881e-2)
tile_26.nrrd;;(68.58393803846175, 346.19226858440993, 8.478010919961064e-2)
tile_27.nrrd;;(99.29779273982098, 341.8796532438452, 4.721280526031148e-2)
tile_28.nrrd;;(-1.1306054541590617e-1, 401.84009808935616, 4.775348034772006e-2)
tile_29.nrrd;;(34.44822642972648, 401.8445971071999, 3.577672622420572e-2)
tile_30.nrrd;;(69.48144891977417, 401.9266197211491, 1.4468321746045895e-1)
tile_31.nrrd;;(99.20710113570865, 401.92092137768253, 1.6648688099601053e-1)
tile_32.nrrd;;(2.669510077576191e-2, 2.0074223750951692e-2, 1.9386807788502085)
tile_33.nrrd;;(29.169611638910425, -1.8508187141160516e-2, 4.120339523662221)
tile_34.nrrd;;(62.83462824351713, 5.703661808667824e-3, 4.104726574637674)
tile_35.nrrd;;(99.32829186577708, -6.062406175143537e-3, 4.194016391580755)
tile_36.nrrd;;(2.763558952519071e-2, 54.245451553382765, 2.3258618224750864)
tile_37.nrrd;;(31.50824588727586, 60.205841786539736, 4.125242059881037)
tile_38.nrrd;;(62.5623615460518, 59.137919657271205, 4.100273457440463)
tile_39.nrrd;;(99.38390171401844, 59.829101566542356, 4.18216557936235)
tile_40.nrrd;;(3.7193627842859914e-2, 115.85120262221085, 3.946199785579335)
tile_41.nrrd;;(31.83582046661514, 114.02148171934965, 2.036682519045743)
tile_42.nrrd;;(68.692283422948, 116.64857970455036, 2.310908425937999)
tile_43.nrrd;;(99.3954150177877, 116.8129058759792, 4.103571653366089)
tile_44.nrrd;;(2.4801313506755213e-2, 171.54268856452617, 2.331884980201721)
tile_45.nrrd;;(34.61808921038112, 171.37563844340286, 2.203676147894426)
tile_46.nrrd;;(69.84842635209206, 172.7232840432118, 4.000887914137407)
tile_47.nrrd;;(99.33481417374465, 173.45191609433917, 2.0508857640353115)
tile_48.nrrd;;(3.7005966344074895e-2, 229.58251350678495, 4.131784157319503)
tile_49.nrrd;;(36.088783016839756, 226.9448641051983, 2.111408916386691)
tile_50.nrrd;;(70.26347615039943, 228.33860648528474, 2.1372589631514116)
tile_51.nrrd;;(99.34203753341869, 226.72908587985168, 2.9581184441393074)
tile_52.nrrd;;(-4.533638262696433e-2, 290.9458768848737, 2.0498035604303535)
tile_53.nrrd;;(31.39246229625638, 289.0189671230545, 4.132604642347856)
tile_54.nrrd;;(68.13279832487325, 287.7998240886326, 2.044164635918357)
tile_55.nrrd;;(99.30740032885667, 285.55341486972173, 2.0228000554171475)
tile_56.nrrd;;(-5.117436729327977e-2, 344.468440169334, 2.0655904466455635)
tile_57.nrrd;;(30.239801184636644, 344.6855337925064, 4.087979728525335)
